,name,desc
1552,Spacient Technologies,"Provider of enterprise technology and mobile computing solutions for the utilities and telecommunications industries with a focus on mobile GIS and field service automation. The company delivers software and professional services that enable organizations to improve operational efficiency, asset management and customer service."
658,New Media Gateway,"Provider of web-based enterprise marketing services. The company\'s marketing services include search engine marketing, marketing analytics, creative design, email marketing, and serves the agency, franchise, financial, energy, healthcare and insurance industries."
1763,Health Month,Provider of social game around improving health habits. The company offers a game that allows users to improve their health habits by identifying their unhealthy eating habits and providing strategies for changing them.
2272,Blade Games,"Provider of video game development solutions and outsourcing services for developers, students, and professional studios.The company provides a development platform that enables users to develop, share, and play with a subscription model, as well as offers a marketplace that enables hobbyists and professionals to buy and sell digital assets."
1404,Ingrepro,Producer of algae for industrial purposes. The company engages in the development and exploitation of hybrid reactors for algae production. It mainly serves the energy and food industries.
4992,Vringo (Mobile Technology Business),The unit is engaged application business.
4545,CloudSwitch,Provider of cloud management software for enterprises. The company focuses on cloud computing.
3019,Viigo,"Developer of a content mobilization platform. The company offers News and RSS module for news, insights, and blogs; Weather module, which allows users to view the current temperature and forecasts for cities around the world; Sports module that provides live event updates, schedules, and results; and Business and Finance module that enables users to create and follow their own stock portfolio, calculate exchange rates, or even manage their online accounts."
2776,Voxar,Developer of medical imaging software. The company develops a visualization and display platform for life-critical applications which allow medical experts to view images in clear and in 3 dimensional.
4563,Mon Showroom,"Retailer of fashions for men, women and children. The company is an online retailer of French-inspired clothing and accessories."
2746,Mork Process,"Creator of equipment for the pharmaceutical industry. The company designs and builds customized Clean-In-Place, Sterilize-In-Place, and Clean-Out-of-Place systems for use within the pharmaceutical industry."
681,Integrated Energy Services,"Provider of commercial and industrial heating, ventilation and air conditioning systems. The company also installs, renovates and do maintenance services of commercial and industrial products."
3392,CytoPherx,"Developer of cytopheresis systems for addressing inflammation-based diseases and conditions. The company focuses on acute renal failure, end-stage renal disease, and acute inflammation induced by cardio pulmonary bypass surgery. It develops products based on the configurations of commercially available hollow fiber dialysis filters that are used in a proprietary manner to sequester and deactivate leukocytes in the patient\'s blood system."
3653,Everlast Sports Nutrition,"Provider of sports nutrition supplements for male and female athletes. The company offers energy shots, energy bars, beverages, protein shakes, vitamin supplements, sports multivitamins and nutrition, protein bars, protein powder, weight gainer capsules, natural fiber supplements and organic vitamins for sport personalities."
2837,Intelligent Results,"Provider of customer analytics and decision management software. The company also provides solutions for collection, recovery, marketing and customer service."
4029,Causes,"Provider of social network platform for spreading awareness. The company engages in social, political and cultural issues and hosts causes.com to advocate and raise funding for issues one chooses to participate."
4444,Hoot.Me,Provider of an application that includes video communications which enables students to get help on homework via Facebook.
4057,ClaroVision,"Provider of living room entertainment and infotainment technologies. The company offers a software platform for consumer electronics, and other service and network operators and serves the television, multimedia and hospitality industries."
2493,FanLib,"Operator of online community for the entertainment fans. The company\'s online storytelling platform enables its members to create stories and scripts based on television shows, books, movies, video games, and other works."
4623,Technion Seed,Provider of financial investment services. The company specializes in seed-stage and start-up investments. It also provides incubator services to technology companies.
