,name,desc
0,Octagen,"Operator of biopharmaceutical company. The company develops drugs for hemophilia, other genetic disorders and variations"
1,GeckoGo,Operator of an online travel website. The company provides travel website for travelers which enables
2,Yantra,"Provider of distributed order management and supply chain fulfillment solutions for retail, distribution, logistics, and"
3,Insider Pages,Operator of online directory and reviews site in the United States. The company enables people
4,GrindMedia,Provider of online action sports and entertainment content. The company provides adventure sports and entertainment
5,Discovery Engine,Developer of an internet search engine. The company offers an interaction model of search engine
6,Pictos Technologies,"Provider of semiconductor and imaging products. The company designs, manufactures and markets digital imaging semiconductor"
7,OnForce,Provider of a cloud-based platform to procure and manage independent IT workforces. The company provides
8,CEB Merchandise Brokers,"Wholesaler of custom apparel and promotional items. The company specializes in brand design, screen printing,"
9,WedSnap,Developer of Web applications to wedding consultants and Website developers. The company offers tools that
10,Prepay Technologies,Designer of stored-value card solutions. The company provides clients with integrated portfolio of prepaid services.
11,SaltCheck,Developer of a technology to monitor salt intake for the control of hypertension and congestive
12,SmartRM,"Developer of encryption software that allows users to protect and share digital content, such as"
13,Restricted Stock Systems,Provider of software services to financial institutions and public companies. The company provides commercial software
14,Metreo,Provider of pricing optimization software. The company provides pricing optimization software that enables manufacturers and
15,Transparency Software,Developer of information retrieval software for business enterprises. The company’s core product Transparency Vision is
16,BioScan Technologies,Developer of imaging technology for use in interventional vascular applications. The company is the developer
17,BambooTori,"Operator of a restaurant chain. The company provides Japanese food and serves all-natural chicken, beef,"
18,Evomote,Provider of content discovery services. The company develops an online platform that helps in offering
19,Xaar,Developer of ink jet technologies.
20,Sepro Telecom International,Developer and provider of rating and billing software. The company develops rating and billing software
21,Foodik.ru,Provider of an online food ordering service in Russia. The company provides convenience to customers
22,Affinity Payments,Provider of payment platform. The company provides electronic payment services to merchants and partners.
23,Targanta Therapeutics,Developer of innovative antibiotics to treat serious infections in the hospital and other institutional settings.
24,Microgon,"Manufacturer of biotechnological separation, filtration and OEM medical devices. The company produces hollow-fiber membrane filters"
25,Samba Sensors,Manufacturer of pressure-measuring system based on fiber optics and micromechanics. The company\'s pressure sensors are
26,BlackLocus,"Provider of a cloud-based platform for online retailers that provide recommendations on pricing, inventory management"
27,Opalis Software,Provider of an information technology (IT) process automation software products for the enterprises. The company
28,GoInstant,Developer of shared web-browsing tool. The company\'s unique co-browsing tool allows two or more people
29,Signature Labs,Developer of a mobile shopping assistant and shopping application. The company provides a way to
30,Pulsent,"Developer of video compression algorithms, technologies and products. The company offers algorithms, software and hardware"
31,Ixi Mobile,Developer of data centric wireless mobile devices and services for mass market users. The company
32,Loomia,Provider of content recommendation services.
33,Envolure,"Developer and provider of a biological, enzymatic and chemical catalog for the characterization of waste"
34,SCT Spinal Cord Therapeutics,Developer of therapy for acute and chronic spinal cord injuries. The company focuses on the
35,Rivio,Developer and deliver small business Web services. The company\'s Integrated Business Services Network (iBSN) provides
36,HAPTO Biotech,Developer of fibrin derived platform technologies. The company offers Fibrin Micro Beads for stem cell
37,BioMonde (Acquired by ZooBiotic),Manufacturer of larval therapy products used to treat wounds like diabetic ulcers and orthopaedic wounds.
38,ClimateMinder,Provider of wireless climate monitoring and control systems for agriculture. The company offers products that
39,KinetX IP (software assets and a specialized business unit),"Provider of space systems engineering, software engineering, hardware engineering, project management, space navigation, flight dynamics"
40,Umbria,Provider of internet related research and marketing advice. The company collects the unsolicited opinions and
41,SocialCast (Waltham),Provider of end-to-end social media services. The company provides a cloud-based platform for small and
42,Zattikka,Developer of online and mobile social network games and mobile applications. The company develops and
43,Intervaluenet,Provider of Internet-consulting services. The company offers Internet stategies for Web-based businesses.
44,LZ Therapeutics,Developer of therapeutics for patients at different stages of Parkinson’s disease. The company provides neuroprotective/neurorestoritive
45,Savene (European Assets),Provider of detoxifying agents. The company specializes in providing dexrazoxane to prevent the effect of
46,Preclick,"Provider of retail photo software for digital photographers. The company\'s solutions enables users to organize,"
47,MMIC Solutions,Developer of technology for systems operating in the millimeter wave bands (50 GHz to 250
48,Kingdee International Software Group Co.,Provider of enterprise management software and Internet service in Asia. The company is a provider
49,Actions Semiconductor,"A fabless semiconductor company which designs, develops and markets integrated platform solutions, including SoCs, firmware,"
50,Ion Surgical Technologies,Developer of medical alternatives to surgical implants. The company is focused on providing surgeons with
51,Piano media,Provider of payment services to the media publishing industry. The company enables publishers to monetize
52,Bedo Technologies,Provider of LBS application and service. The company\'s product enables users to take real-time location-based
53,Mountain Network Solutions,"Provider of mainframe storage services. The company also provides hosting, storage and disaster recovery services."
54,Twisted Pair Solutions,"Provider of unified communications software services. The company offers WAVE, a Voice-over-IP software application that"
55,HL-Planartechnik,Manufacturer of thin-film metallization processes for the production of sensors. The company manufactures and sells
56,Elastix,Provider of technology that lowers the power used by digital integrated circuits. The company offers
57,Buysight,Provider of search engine marketing platform for display advertising. The company provides services for both
58,CellTran,Developer of cell therapy products to aid in wound healing. The company using autologous skin
59,Biocistronix,Provider of drug discovery and medical research and development services. The company also engages in
60,Advasense Technologies,Developer of image sensor technologies. The company offers technologies used in improving the image quality
61,Glancee,"Provider of is an application for iPhone, Android and Facebook."
62,EA Technology Ventures,Provider of power asset management services. The company invests and works with new ventures across
63,SwitchGear Genomics,Provider of products for studying gene regulation in the human genome. The company develops new
64,Frog AGV Systems,"Developer of navigation hardware and software products. The company develops, produces and sells guidance and"
65,Pomarfin,Operator of a Finnish family business that manufactures shoes.
66,Slide,"Provider of online application for social networking websites. The company provides slideshow, image and video"
67,Newton Propulsion Technology,Developer of hybrid propulsion technology based engine. The company\'s product is a hybrid of the
68,Waywire,"Provider of a social artery for video news. The company\'s network provides original, syndicated and"
69,Zebido.com,Operator of an auction website.
70,LCL Logistix,"Provider of logistics and supply-chain solutions. The company provides integrated, end-to-end shipping logistics services to"
71,CrystalVoice,Provider of quality-of service-software for VoIP solutions.
72,FYIQuest,Developer of an internet-based system that provides customized content to physicians\' offices. The company provides
73,Efficere Technologies,Developer of software for electronic systems. The company manufactures and markets signal integrity devices. The
74,Tutum,Developer of a cloud computing service platform. The company provides a cloud service focused on
75,Danyl,Manufacturer of electronic data collection which input to computerized accounting systems. The company also produces
